n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7,EQ_total,SQ_total,ale1_iden_sent,ale2_des_sent,ale3_pen_ext,int_emo_1_perc_emo,int_emo_2_compr_emo,int_emo_3_reg_emo,toma_pers
1,2021/12/01 8:14:29 p. m. GMT,Educación Universitaria Completa,25,Mujer,Soltero,Sí,39,Sí,700.000 a 890.000,Particular pagado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,1,0,0,2,2,1,2,1,1,1,3,1,1,1,4,1,1,4,4,1,1,2,3,4,5,3,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,20,12,7,16,8,39,40,40,35
2,2021/12/01 8:36:42 p. m. GMT,Educación Universitaria Completa,30,Hombre,Soltero,Sí,44,Sí,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,1,1,2,1,1,2,1,2,1,1,2,2,0,1,1,2,2,0,0,2,4,4,2,3,2,3,3,1,2,1,3,2,1,1,1,1,1,3,5,1,4,4,4,5,3,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,4,5,11,11,16,13,5,32,27,34,31
3,2021/12/01 8:38:03 p. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,2,0,2,1,1,1,1,0,0,2,0,1,0,0,1,2,0,2,1,1,1,4,3,1,1,2,1,1,4,4,1,1,2,3,4,5,5,1,4,5,5,5,4,2,4,4,5,5,5,5,5,2,2,5,4,4,3,4,4,5,5,2,4,5,5,5,2,4,2,4,11,6,7,17,8,33,34,31,27
4,2021/12/01 8:38:47 p. m. GMT,Educación Universitaria Completa,27,Hombre,Soltero,Sí,42,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,2,1,1,2,2,2,4,5,1,2,1,5,4,5,5,1,4,3,4,2,5,5,5,1,5,1,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,1,3,4,1,3,1,4,2,4,3,2,4,4,2,2,10,25,19,12,24,23,21,21
5,2021/12/01 8:45:18 p. m. GMT,Education Técnico Profesional Completa,23,Mujer,Soltero,Sí,6,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,Prefiero no responder.,2,2,0,2,1,2,1,1,2,0,1,1,0,1,1,0,0,0,1,0,0,2,5,5,5,2,2,5,4,4,5,1,4,5,3,3,4,4,4,5,5,3,5,5,5,4,4,5,5,5,4,4,3,4,4,3,3,4,3,3,3,2,3,4,4,5,4,2,4,4,2,4,3,4,13,4,30,20,11,38,29,27,23
6,2021/12/01 8:47:05 p. m. GMT,Educacion Universitaria Incompleta,37,Hombre,Soltero,Sí,60,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,2,0,2,1,1,0,2,3,4,3,1,1,1,3,3,5,1,5,4,4,4,5,5,5,5,5,3,5,4,1,5,1,5,2,1,2,5,5,4,5,3,5,4,5,5,5,5,5,5,5,5,4,1,5,5,1,5,3,5,2,10,23,19,10,24,33,40,25
7,2021/12/01 8:49:20 p. m. GMT,Educacion Universitaria Incompleta,27,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,1,0,1,0,0,2,1,1,2,0,2,2,2,0,1,2,1,1,2,4,5,3,5,1,4,4,4,4,1,4,5,5,3,5,3,5,5,5,2,5,3,2,5,4,2,2,4,2,2,2,4,2,1,2,3,5,5,5,5,5,4,4,4,4,4,5,4,2,5,4,5,7,13,27,24,11,27,18,37,29
8,2021/12/01 9:11:32 p. m. GMT,Educación Técnico Profesional Incompleta,34,Mujer,Soltero,Sí,45,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,1,1,2,0,2,0,1,1,1,1,1,0,0,0,1,0,0,2,3,4,3,2,2,4,2,3,3,2,3,1,1,1,2,2,4,4,4,3,5,5,4,4,1,5,5,4,5,4,4,4,4,4,4,5,3,5,3,5,4,5,4,4,4,2,4,5,2,4,4,5,9,5,17,14,9,33,34,33,26
9,2021/12/01 9:34:43 p. m. GMT,Education Técnico Profesional Completa,25,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,0,2,0,0,1,0,4,1,2,2,1,2,2,1,2,2,1,2,4,5,4,3,2,4,4,4,4,1,5,5,5,5,3,4,5,4,4,1,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,5,4,3,6,16,30,23,10,32,26,32,26
10,2021/12/01 9:36:00 p. m. GMT,Educación Universitaria Completa,25,Mujer,Soltero,Sí,22,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,2,0,2,2,4,1,2,2,1,2,4,1,1,1,3,1,1,1,2,1,5,5,3,5,5,5,5,4,3,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,2,4,5,5,5,4,5,5,5,18,2,9,11,8,37,39,33,34
11,2021/12/01 9:37:53 p. m. GMT,Educación Universitaria Completa,22,Hombre,Soltero,Sí,72,No,700.000 a 890.000,Particular pagado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,1,2,0,0,2,2,4,2,2,2,2,1,1,0,2,1,0,2,1,1,1,1,3,1,1,5,2,1,1,1,1,1,1,1,1,5,2,5,5,2,2,5,1,3,2,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,2,5,5,5,12,13,8,5,10,22,40,39,31
12,2021/12/01 9:56:11 p. m. GMT,Educación Basica Completa,48,Mujer,Viudo(a),No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,0,0,2,2,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,5,4,1,2,1,5,2,5,1,1,5,1,1,1,1,5,1,5,5,3,5,5,5,5,1,1,4,2,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,10,2,16,13,8,28,32,40,32
13,2021/12/01 10:22:12 p. m. GMT,Educación Técnico Profesional Incompleta,19,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,1,1,0,2,2,0,1,2,2,1,0,1,2,0,2,2,1,2,4,5,5,5,2,5,4,2,4,3,5,5,4,3,1,2,5,5,4,1,3,2,2,3,4,2,2,2,1,1,2,2,3,1,1,3,4,3,3,4,5,3,4,2,4,4,5,4,4,4,4,5,13,13,29,25,8,20,14,28,30
14,2021/12/01 10:58:34 p. m. GMT,Educación Media Incompleta,19,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,Algún tipo de Trastorno del Desarrollado no especificado arriba.,2,2,2,2,1,2,2,2,2,0,1,2,0,1,1,0,0,0,0,0,1,2,4,5,4,4,2,5,5,2,3,2,3,4,5,4,2,2,3,4,4,3,4,3,2,2,2,1,1,1,1,1,2,3,2,1,2,2,4,5,4,3,2,2,4,3,4,5,5,5,4,5,5,5,17,5,30,19,8,16,14,27,34
15,2021/12/01 11:07:05 p. m. GMT,Educación Media Completa,49,Hombre,Casado,Sí,54,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,0,2,0,1,2,0,1,2,0,2,0,0,0,0,2,2,1,2,5,1,5,1,1,2,1,5,5,1,1,5,5,4,1,1,5,5,5,2,4,5,5,5,1,1,1,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,4,1,5,4,1,5,5,5,7,9,27,13,8,27,37,40,26
