n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7
1,2021/12/01 8:14:29 p. m. GMT,Educación Universitaria Completa,25,Mujer,Soltero,Sí,39,Sí,700.000 a 890.000,Particular pagado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,1,0,0,2,2,1,2,1,1,1,3,1,1,1,4,1,1,4,4,1,1,2,3,4,5,3,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
2,2021/12/01 8:36:42 p. m. GMT,Educación Universitaria Completa,30,Hombre,Soltero,Sí,44,Sí,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,1,1,2,1,1,2,1,2,1,1,2,2,0,1,1,2,2,0,0,2,4,4,2,3,2,3,3,1,2,1,3,2,1,1,1,1,1,3,5,1,4,4,4,5,3,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,4,5
3,2021/12/01 8:38:03 p. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,2,0,2,1,1,1,1,0,0,2,0,1,0,0,1,2,0,2,1,1,1,4,3,1,1,2,1,1,4,4,1,1,2,3,4,5,5,1,4,5,5,5,4,2,4,4,5,5,5,5,5,2,2,5,4,4,3,4,4,5,5,2,4,5,5,5,2,4,2,4
4,2021/12/01 8:38:47 p. m. GMT,Educación Universitaria Completa,27,Hombre,Soltero,Sí,42,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,2,1,1,2,2,2,4,5,1,2,1,5,4,5,5,1,4,3,4,2,5,5,5,1,5,1,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,1,3,4,1,3,1,4,2,4,3,2,4,4,2
5,2021/12/01 8:45:18 p. m. GMT,Education Técnico Profesional Completa,23,Mujer,Soltero,Sí,6,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,Prefiero no responder.,2,2,0,2,1,2,1,1,2,0,1,1,0,1,1,0,0,0,1,0,0,2,5,5,5,2,2,5,4,4,5,1,4,5,3,3,4,4,4,5,5,3,5,5,5,4,4,5,5,5,4,4,3,4,4,3,3,4,3,3,3,2,3,4,4,5,4,2,4,4,2,4,3,4
6,2021/12/01 8:47:05 p. m. GMT,Educacion Universitaria Incompleta,37,Hombre,Soltero,Sí,60,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,2,0,2,1,1,0,2,3,4,3,1,1,1,3,3,5,1,5,4,4,4,5,5,5,5,5,3,5,4,1,5,1,5,2,1,2,5,5,4,5,3,5,4,5,5,5,5,5,5,5,5,4,1,5,5,1,5,3,5
7,2021/12/01 8:49:20 p. m. GMT,Educacion Universitaria Incompleta,27,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,1,0,1,0,0,2,1,1,2,0,2,2,2,0,1,2,1,1,2,4,5,3,5,1,4,4,4,4,1,4,5,5,3,5,3,5,5,5,2,5,3,2,5,4,2,2,4,2,2,2,4,2,1,2,3,5,5,5,5,5,4,4,4,4,4,5,4,2,5,4,5
8,2021/12/01 9:11:32 p. m. GMT,Educación Técnico Profesional Incompleta,34,Mujer,Soltero,Sí,45,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,1,1,2,0,2,0,1,1,1,1,1,0,0,0,1,0,0,2,3,4,3,2,2,4,2,3,3,2,3,1,1,1,2,2,4,4,4,3,5,5,4,4,1,5,5,4,5,4,4,4,4,4,4,5,3,5,3,5,4,5,4,4,4,2,4,5,2,4,4,5
9,2021/12/01 9:34:43 p. m. GMT,Education Técnico Profesional Completa,25,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,0,2,0,0,1,0,4,1,2,2,1,2,2,1,2,2,1,2,4,5,4,3,2,4,4,4,4,1,5,5,5,5,3,4,5,4,4,1,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,5,4,3
10,2021/12/01 9:36:00 p. m. GMT,Educación Universitaria Completa,25,Mujer,Soltero,Sí,22,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,2,0,2,2,4,1,2,2,1,2,4,1,1,1,3,1,1,1,2,1,5,5,3,5,5,5,5,4,3,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,2,4,5,5,5,4,5,5,5
